Route,avg_delay,num_incidents
76,17.15686274509804,255
90,17.116129032258065,310
72,16.793991416309012,466
925,16.682151589242054,409
95,16.50194931773879,1026
905,16.435897435897434,312
501,16.145833333333332,48
953,16.041666666666668,72
114,16.009708737864077,206
939,15.977567886658795,847
927,15.904672897196262,535
53,15.844850065189048,767
300,15.831509846827133,457
505,15.75,8
168,15.703448275862069,290
985,15.684931506849315,511
902,15.641666666666667,240
7,15.638232271325796,973
989,15.517241379310345,145
86,15.45874125874126,715
34,15.130674002751032,727
124,15.018867924528301,53
955,15.0,1
45,14.950442477876106,565
952,14.868312757201647,243
43,14.852906287069988,843
937,14.735849056603774,159
995,14.690391459074734,281
125,14.648351648351648,91
903,14.579572446555819,421
511,14.333333333333334,3
320,14.201960784313725,510
25,14.180882352941177,680
92,14.020833333333334,96
966,14.0,3
165,13.920253164556962,790
63,13.87448046550291,1203
89,13.857374392220422,617
339,13.85,40
29,13.772891131939438,1387
100,13.585492227979275,579
24,13.451448040885861,587
116,13.42757821552723,863
81,13.24390243902439,82
16,12.959854014598541,274
201,12.692307692307692,13
954,12.595505617977528,89
945,12.6,175
929,12.519047619047619,840
36,12.375324675324675,1540
950,12.0,1
984,11.819354838709678,155
944,11.48235294117647,85
924,11.193333333333333,150
506,11.166666666666666,6
986,10.3841059602649,151
BATHURST,10.0,1
141,10.0,1
2504,10.0,1
22,9.91358024691358,162
900,9.389027431421447,401
44,9.27882037533512,373
938,9.0,4
652,9.0,1
610,9.0,1
59097,8.0,1
400,8.0,1
9259,8.0,1
943,7.0,1
1,5.75,4
0,5.4,5
507,5.0,2
512,4.5,26
510,3.3636363636363638,22
504,3.090909090909091,11
LINE 2,2.95,20
600,2.588235294117647,272
BD,2.3333333333333335,12
509,2.25,4
SHUTTLE,2.0,6
999,1.6604651162790698,215
RAD 600,1.5,2
2,1.3714285714285714,35
LINE 1,0.84375,32
RAD,0.8333333333333334,6
555,0.5428571428571428,35
OTC,0.0,6
SHELTER,0.0,2
SRT,0.0,4
SUBWAY,0.0,2
MOBILE 104,0.0,1
RAD (57,0.0,1
899,0.0,11
M169,0.0,1
TBM,0.0,1
MULTIPLE,0.0,1
00RAD,0.0,2
144,0.0,1
TRAINING,0.0,1
CNE,0.0,1
D,0.0,1
OUT,0.0,1
TTC,0.0,1
304,0.0,1
601,0.0,1
320 YONGE (600,0.0,1
666,0.0,1
A,0.0,1
OPERATED,0.0,1
VARIOUS,0.0,1
