Location,avg_delay,num_incidents
DUFFERIN AND QUEEN,23.273972602739725,73
KEELE AND WILSON,23.243589743589745,78
ISLINGTON AND EVANS,23.0,20
ELLESMERE AND BELLAMY,23.0,26
LAWRENCE AND MARKHAM,22.93548387096774,31
CARLAW AND LAKESHORE,22.814814814814813,27
SUNNYBROOK HOSPITAL,22.806818181818183,88
ST CLAIR WEST STATION,22.49056603773585,53
WESTON AND SHEPPARD,22.48,25
ST CLAIR STATION,22.321100917431192,109
WILSON AND YONGE,22.25,40
DUFFERIN AND COLLEGE,22.25,20
RUNNYMEDE STATION,22.142857142857142,175
WESTWOOD MALL,22.05,20
STEELES AND BAYVIEW,22.03125,32
JANE STATION,21.984790874524716,263
MCCOWAN AND FINCH,21.96153846153846,52
DAVISVILLE STATION,21.566929133858267,127
EGLINTON AND JANE,21.511111111111113,45
WARDEN AND STEELES,21.5,72
STEELES AND KENNEDY,21.428571428571427,28
FINCH AND ALBION,21.413793103448278,29
DAVISVILLE AND YONGE,21.393939393939394,33
WILSON AND KEELE,21.314285714285713,70
STEELES AND BATHURST,20.945945945945947,37
LAWRENCE AND BAYVIEW,20.875,24
FINCH AND MORNINGSIDE,20.86,50
ELLESMERE AND MILITARY,20.73611111111111,72
EMMETT AND VERONA,20.666666666666668,33
BRIMLEY AND EGLINTON,20.596153846153847,52
ROSEDALE STATION,20.52173913043478,23
YONGE AND LAWRENCE,20.5,24
MORNINGSIDE AND LAWREN,20.486486486486488,37
WILSON AND JANE,20.392,125
SPADINA STATION,20.37142857142857,35
ST GEORGE STATION,20.291666666666668,24
LAWRENCE AND WARDEN,20.26923076923077,52
DUNDAS AND KEELE,20.214285714285715,28
MORNINGSIDE AND KINGST,20.130434782608695,23
EGLINTON AND MIDLAND,19.93548387096774,62
ISLINGTON AND BLOOR,19.904761904761905,42
MORNINGSIDE AND FINCH,19.816666666666666,60
LONG BRANCH LOOP,19.736842105263158,57
LAWRENCE AND KEELE,19.685714285714287,35
FINCH AND DUFFERIN,19.59016393442623,61
EGLINTON AND VICTORIA,19.575757575757574,33
YORK MILLS AND BAYVIEW,19.42222222222222,45
YORK MILLS AND YONGE,19.384615384615383,26
LAWRENCE AND DUFFERIN,19.383333333333333,60
SHEPPARD AND DON MILLS,19.14814814814815,27
ELLESMERE AND KENNEDY,19.12280701754386,114
MORNINGSIDE AND SHEPPA,19.11864406779661,59
OSSINGTON AND DUNDAS,19.11764705882353,34
SHEPPARD AND VICTORIA,19.068181818181817,44
DUFFERIN AND STEELES,19.0,34
LAWRENCE AND JANE,18.993333333333332,150
KINGSTON AND BRIMLEY,18.93103448275862,29
OSSINGTON AND QUEEN,18.90909090909091,22
HUMBERLINE LOOP,18.82758620689655,29
EGLINTON AND MARKHAM,18.813953488372093,86
VICTORIA PARK AND ELLE,18.772727272727273,22
WARDEN AND FINCH,18.766666666666666,30
SHERWAY GARDENS,18.727272727272727,33
EGLINTON AND OAKWOOD,18.676470588235293,34
ALBION AND WESTON,18.568627450980394,51
EGLINTON AND PHARMACY,18.45,20
CASTLE FRANK STATION,18.433673469387756,196
STEELES AND ISLINGTON,18.425,40
STEELES AND MCCOWAN,18.40909090909091,22
LAWRENCE WEST STATION,18.36813186813187,182
LAWRENCE AND AVENUE,18.32,25
YORKDALE STATION,18.29850746268657,134
STEELES AND VICTORIA P,18.2,20
PROGRESS AND MARKHAM,18.157894736842106,38
LAWRENCE AND MCCOWAN,18.137931034482758,29
SHEPPARD AND MIDLAND,18.125,32
ISLINGTON STATION,18.121673003802282,263
LAWRENCE AND CULFORD,18.05263157894737,57
WARDEN AND MCNICOLL,18.047619047619047,21
FINCH AND MARKHAM,18.0,23
VICTORIA PARK AND EGLI,18.0,39
SHEPPARD AND YONGE,17.9811320754717,53
FINCH AND LESLIE,17.967741935483872,31
EVANS AND ISLINGTON,17.952380952380953,21
LAWRENCE AND MORNINGSI,17.91304347826087,23
BLOOR AND ISLINGTON,17.89830508474576,59
WOODBINE STATION,17.75221238938053,113
SHEPPARD WEST STATION,17.74934725848564,383
MIDLAND AND LAWRENCE,17.735632183908045,87
KENNEDY AND EGLINTON,17.724137931034484,29
WARDEN AND ST CLAIR,17.704545454545453,44
MIDLAND AND STEELES,17.67032967032967,91
MCCOWAN AND STEELES,17.629032258064516,62
ALLIANCE AND JANE,17.608695652173914,23
STEELES AND YONGE,17.507042253521128,71
FINCH AND JANE,17.431372549019606,51
LAWRENCE AND PINE,17.428571428571427,49
VICTORIA PARK AND SHEP,17.348837209302324,43
ROUGE HILL GO STATION,17.317073170731707,82
STEELES AND DON MILLS,17.214285714285715,28
WELLESLEY STATION,17.186046511627907,43
FINCH AND VICTORIA PAR,17.105263157894736,38
ISLINGTON AND EGLINTON,17.093023255813954,43
FINCH AND DRIFTWOOD,17.03846153846154,26
DIXON AND KIPLING,17.035714285714285,28
MARKHAM AND PROGRESS,17.02173913043478,46
MARKHAM AND LAWRENCE,17.0,30
OVERLEA AND THORNCLIFF,16.989247311827956,93
WELLESLEY AND SHERBOUR,16.869565217391305,23
OSSINGTON AND ARGYLE,16.863636363636363,22
DONLANDS STATION,16.80952380952381,63
KEELE AND EGLINTON,16.770491803278688,61
EARLSCOURT LOOP,16.75,44
ROYAL YORK STATION,16.729166666666668,240
KENNEDY AND LAWRENCE,16.67816091954023,87
SHEPPARD AND PARKWAY F,16.666666666666668,24
ST CLAIR AND BIRCHMOUN,16.64,25
MCCOWAN AND SHEPPARD,16.634920634920636,63
LAWRENCE AND MARLEE,16.615384615384617,39
LANSDOWNE AND BLOOR,16.6,25
EGLINTON AND KEELE,16.53921568627451,102
EGLINTON AND LESLIE,16.333333333333332,24
DUNDAS WEST STATION,16.306010928961747,183
SCARBOROUGH COLLEGE LO,16.25,28
VICTORIA PARK AND DENT,16.25,28
YONGE AND BERWICK,16.24,25
FINCH AND SIGNET,16.227272727272727,22
DUFFERIN AND CASTLEFIE,16.227272727272727,22
FINCH AND BIRCHMOUNT,16.125,32
KENNEDY AND PROGRESS,16.103896103896105,77
KEELE AND SHEPPARD,16.103448275862068,29
LAWRENCE AND KINGSTON,16.08695652173913,23
SHEPPARD STATION,16.073529411764707,68
KIPLING AND RATHBURN,16.06896551724138,29
MORNINGSIDE AND STAINE,16.0,30
KENNEDY AND ELLESMERE,15.945205479452055,73
LANSDOWNE AND QUEEN,15.903225806451612,31
STEELES AND MIDLAND,15.88888888888889,54
WARDEN STATION,15.87542662116041,586
SHEPPARD AND MCCOWAN,15.8,30
SCARBOROUGH CENTER STA,15.777777777777779,27
YORK MILLS STATION,15.765037593984962,532
SCARBOROUGH CENTRE STA,15.75310834813499,563
MARKHAM AND ELLESMERE,15.75,32
STEELES AND HILDA,15.74074074074074,27
SCARBOROUGH TOWN CENTE,15.689655172413794,29
DIXON AND ISLINGTON,15.631578947368421,38
DON MILLS STATION,15.506302521008404,476
SHEPPARD AND WARDEN,15.435897435897436,39
EGLINTON WEST STATION,15.353556485355648,478
EGLINTON STATION,15.351184346035016,971
LANSDOWNE AND DUPONT,15.261904761904763,42
DUFFERIN AND KING,15.220338983050848,59
SHEPPARD AND BIRCHMOUN,15.2,25
NEILSON AND CROW TRAIL,15.194444444444445,36
DUFFERIN AND FINCH,15.181818181818182,22
VICTORIA PARK AND FINC,15.181818181818182,22
SHEPPARD AND BRIMLEY,15.16,25
DUFFERIN GATE,15.15,20
RENFORTH STATION,15.120253164556962,158
STEELES AND MARTIN GRO,15.118279569892474,93
DUFFERIN AND WILSON,15.071428571428571,70
ELLESMERE AND VICTORIA,15.047619047619047,21
CENTENNIAL COLLEGE,14.968253968253968,63
DON MILLS AND OVERLEA,14.935483870967742,31
HUMBERWOOD AND MORNING,14.931034482758621,29
YONGE AND SHEPPARD,14.931034482758621,29
ELLESMERE AND MIDLAND,14.928571428571429,56
SHEPPARD AND MORNINGSI,14.877551020408163,49
KENNEDY AND FINCH,14.875,40
JANE AND SHEPPARD,14.813559322033898,59
DUFFERIN AND LIBERTY,14.789473684210526,57
ELLESMERE AND DOLLY VA,14.761904761904763,21
MORNINGVIEW TRAIL AND,14.76,25
UNIVERSITY OF TORONTO,14.754716981132075,53
ELLESMERE AND NEILSON,14.75,44
FINCH AND DON MILLS,14.717948717948717,39
LAWRENCE AND BATHURST,14.69767441860465,43
WILSON GARAGE,14.688524590163935,122
WESTON AND ALBION,14.685185185185185,54
JANE AND ALLIANCE,14.652173913043478,46
BATHURST AND DUPONT,14.65,20
BATHURST AND FINCH,14.595238095238095,42
BROADVIEW AND PRETORIA,14.5,22
BIRCHMOUNT GARAGE,14.5,174
VICTORIA PARK STATION,14.462686567164178,335
PINE AND LAWRENCE,14.444444444444445,63
FINCH AND KENNEDY,14.425,80
WILSON AND JULIAN,14.380952380952381,21
CENTENNIAL COLLEGE BUS,14.37037037037037,27
MARKHAM AND SHEPPARD,14.328,125
STEELES AND MARKHAM,14.285714285714286,21
IAN MACDONALD AND CHIM,14.272727272727273,22
SHEPPARD AND SCUNTHORP,14.25,36
LAWRENCE AND SCARLETT,14.241379310344827,29
GATEWAY AND DON MILLS,14.238095238095237,21
FINCH AND NORFINCH,14.2,25
JANE AND WEATHERELL,14.142857142857142,21
WILSON AND BATHURST,14.10344827586207,58
YORK MILLS AND LESLIE,14.0,37
FINCH AND BAYVIEW,14.0,25
DUPONT AND LANSDOWNE,14.0,27
BROADVIEW AND COSBURN,14.0,29
SHEPPARD AND MEADOWVAL,14.0,34
EGLINTON AND BELLAMY,14.0,24
MARTIN GROVE AND TOLLI,13.971428571428572,35
KEELE AND LAWRENCE,13.82857142857143,35
MARTIN GROVE AND STEEL,13.807692307692308,26
SPRINGHURST LOOP,13.787878787878787,99
WILSON STATION,13.774011299435028,885
EGLINTON AND LAIRD,13.763157894736842,38
BLOOR AND JANE,13.75,20
MAIN STREET STATION,13.680701754385964,285
MCCOWAN AND LAWRENCE,13.666666666666666,21
EGLINTON AND CALEDONIA,13.64,25
EGLINTON AND DUNFIELD,13.634615384615385,52
WARDEN AND DANFORTH,13.5625,32
YORK MILLS AND FENSIDE,13.56,25
MARKHAM AND STEELES,13.5,54
QUEENS QUAY AND YONGE,13.45,20
SHEPPARD AND MARKHAM,13.40677966101695,59
RYLANDER AND KINGSTON,13.358695652173912,92
FINCH AND KIPLING,13.35483870967742,31
LANSDOWNE AND DUNDAS,13.32258064516129,31
ELLESMERE AND MCCOWAN,13.307692307692308,65
HUMBER COLLEGE BUS TER,13.304347826086957,23
SCARBOROUGH TOWN CENTR,13.252173913043478,115
DUFFERIN AND LAWRENCE,13.214659685863875,191
BATHURST AND SHEPPARD,13.186046511627907,43
PAPE AND DANFORTH,13.181818181818182,22
QUEENSWAY GARAGE,13.129411764705882,85
KENNEDY STATION,13.076493579006142,1791
TRITON AND BOROUGH,13.063829787234043,47
STEELES AND DUFFERIN,13.044444444444444,45
MAIN STATION,13.0,51
NEILSON AND SHEPPARD,13.0,21
KEELE AND DUNDAS,12.982456140350877,57
KIPLING STATION,12.980223559759244,1163
MEADOWVALE LOOP,12.953271028037383,107
PAPE STATION,12.94413407821229,179
OAKWOOD AND ST CLAIR,12.916666666666666,24
JETLINER AND AIRPORT,12.909090909090908,22
SHEPPARD AND BATHURST,12.89090909090909,55
KIPLING AND LAKESHORE,12.8,25
BATHURST AND LAWRENCE,12.791666666666666,48
FINCH AND MCCOWAN,12.731707317073171,41
TORONTO ZOO,12.72549019607843,51
EGLINTON AND MCCOWAN,12.703703703703704,27
STEELES AND WARDEN,12.702702702702704,37
FINCH AND BATHURST,12.690909090909091,55
EGLINTON AND BAYVIEW,12.666666666666666,42
LAWRENCE AND KENNEDY,12.666666666666666,54
PEARSON AIRPORT,12.640625,64
DON MILLS AND EGLINTON,12.627906976744185,43
TRITON AND MCCOWAN,12.619047619047619,21
HUMBER LOOP,12.541666666666666,24
FINCH AND ARROW,12.518518518518519,81
WESTON AND STEELES,12.511111111111111,45
THORNCLIFFE AND OVERLE,12.5,40
DUFFERIN AND BLOOR,12.487804878048781,82
FINCH AND TAPSCOTT,12.457142857142857,35
KEELE STATION,12.4321608040201,398
DON MILLS AND WYNFORD,12.418604651162791,43
AVON LOOP,12.386363636363637,44
OLD MILL STATION,12.37062937062937,143
ELLESMERE AND BRIMLEY,12.342857142857143,35
EGLINTON AND MASON,12.304347826086957,23
THORNCLIFFE PARK AND O,12.3,20
JANE AND DUNDAS,12.285714285714286,49
EGLINTON AND MARLEE,12.272727272727273,55
KENNEDY AND SHEPPARD,12.26530612244898,49
PEARSON AIRPORT TERMIN,12.237623762376238,101
MOUNT DENNIS GARAGE,12.169491525423728,177
LAWRENCE AND CALEDONIA,12.166666666666666,30
ELLESMERE AND WARDEN,12.166666666666666,36
MALVERN GARAGE,12.14655172413793,116
FINCH AND ISLINGTON,12.131578947368421,38
OSSINGTON STATION,12.113122171945701,221
EGLINTON GARAGE,12.0625,64
JANE AND BLOOR,12.051724137931034,58
EGLINTON AND DUFFERIN,12.0,80
EGLINTON AND DON MILLS,11.96551724137931,29
SHERBOURNE AND BLOOR,11.912280701754385,57
ELLESMERE AND MARKHAM,11.902097902097902,143
VICTORIA PARK AND STEE,11.827586206896552,58
BATHURST AND GREENWIN,11.727272727272727,33
BATHURST AND ST CLAIR,11.717948717948717,39
FINCH STATION,11.7073732718894,868
EGLINTON AND DANFORTH,11.69767441860465,43
BEECROFT AND SHEPPARD,11.6,20
BRADSTOCK AND WESTON,11.555555555555555,54
DUFFERIN AND ST CLAIR,11.548387096774194,62
VICTORIA PARK AND ST C,11.485714285714286,35
EASTERN AND QUEEN,11.4375,32
HUMBER COLLEGE,11.427083333333334,96
BLOOR AND DUFFERIN,11.4,20
MT DENNIS GARAGE,11.382352941176471,34
MEADOWVALE AND SHEPPAR,11.323232323232324,99
YORK MILLS AND DON MIL,11.277777777777779,36
NORTH SERVICE AND EGLI,11.206896551724139,29
DUFFERIN AND DAVENPORT,11.2,40
KEELE AND GLENLAKE,11.15,40
BATHURST AND DAVENPORT,11.08695652173913,23
WESTON AND WALSH,11.010309278350515,97
STEELES AND KIPLING,10.962962962962964,27
SUNNYSIDE LOOP,10.94,50
SIGNET AND STEELES,10.911764705882353,34
MCNICOLL GARAGE,10.906666666666666,75
MORNINGSIDE AND PASSMO,10.647540983606557,122
LAWRENCE AND DON MILLS,10.555555555555555,27
QUEENS QUAY AND LOWER,10.476190476190476,21
YONGE AND STEELES,10.463235294117647,136
EGLINTON AND KENNEDY,10.461538461538462,91
OAKWOOD AND EGLINTON,10.363636363636363,22
LOWER JARVIS AND QUEEN,10.340909090909092,44
DUFFERIN AND ROGERS,10.333333333333334,30
EGLINTON AND AVENUE,10.318181818181818,22
ARROW GARAGE,10.244186046511627,86
KIPLING AND STEELES,10.242424242424242,66
ELLESMERE AND BIRCHMOU,10.24,25
HUMBERWOOD LOOP,10.18421052631579,114
VICTORIA PARK AND CRES,10.153846153846153,26
DUFFERIN AND DUPONT,10.13953488372093,43
BROADVIEW STATION,10.076704545454545,352
EGLINTON AND LEBOVIC,10.0625,32
BATHURST STATION,9.988372093023257,258
DUFFERIN AND GLENCAIRN,9.866666666666667,30
COXWELL STATION,9.85308056872038,211
DUFFERIN AND SPRINGHUR,9.85,40
GREENWIN VILLAGE AND B,9.836065573770492,61
SHERBOURNE STATION,9.818181818181818,22
WESTON AND BRADSTOCK,9.733333333333333,45
TORONTO PEARSON AIRPOR,9.666666666666666,21
WALSH AND WESTON,9.55,20
FINCHDENE AND FINCH,9.517241379310345,29
DUFFERIN GATE LOOP,9.324324324324325,111
OAKWOOD AND VAUGHAN,9.166666666666666,36
DUFFERIN AND DUFFERIN,9.095238095238095,21
DUNDAS AND EAST MALL,9.05,40
KIPLING AND EVANS,9.024390243902438,41
BATHURST AND BARTON,8.961538461538462,26
DUFFERIN AND EGLINTON,8.861538461538462,65
DANFORTH AND WARDEN,8.833333333333334,36
TAPSCOTT AND FINCH,8.807692307692308,26
OLD WESTON AND STEELES,8.804878048780488,41
SIGNAL HILL AND STEELE,8.758620689655173,29
FINCH WEST STATION,8.757869249394673,413
MORNINGSIDE AND NIGHTS,8.722222222222221,90
YONGE AND QUEENS QUAY,8.68,25
COLONEL SAMUEL SMITH L,8.6,25
WYNFORD AND DON MILLS,8.444444444444445,36
COLONEL SAMUEL SMITH P,8.35135135135135,37
YONGE AND FINCH,8.32258064516129,31
SOUTH AND GLEN,8.25,24
JANE AND HARDING,8.227272727272727,22
WESTON AND FINCH,8.181818181818182,44
EGLINTON AND WARDEN,8.161290322580646,31
ATLANTIC AND KING,7.904761904761905,21
STEELES LOOP,7.878612716763006,173
FINCH AND WESTON,7.666666666666667,123
DON MILLS AND LAWRENCE,7.45945945945946,37
DUFFERIN AND ORFUS,6.96,25
PAPE AND LIPTON,6.448275862068965,29
MORNINGSIDE AND NEILSO,5.92,25
SCARBOROUGH CTR STATIO,5.357142857142857,28
YONGE AND STEELES LOOP,3.75,24
THE EAST MALL AND GIBB,1.9230769230769231,26
